SerialNumber,TypeID,Description,LastCheckIn
10206477,19,Rm 325,10/21/2024 9:05
10205319,51,Rm 2305,10/21/2024 6:14
10205959,7,Rm 111,10/21/2024 7:15
10261690,10,Rm 107,10/21/2024 8:44
10205820,60,Rm 3120,10/21/2024 7:21
10206109,58,Rm 221,10/21/2024 6:45
10205033,18,Rm 222 B,10/21/2024 7:20
10205817,22,Rm 2221,10/21/2024 5:48
10205588,18,Rm 202,10/21/2024 7:00
10193979,9,Rm 3122 A,10/21/2024 7:39
10205078,51,Rm 2302,10/21/2024 6:50
10193382,18,Rm 225 B,10/21/2024 9:03
10192491,19,Rm 332,10/21/2024 8:35
10205955,18,Rm 232,10/21/2024 6:09
10205643,18,Rm 207,10/21/2024 5:51
10192202,7,Rm 102,10/21/2024 6:16
10206766,60,Rm 3101,10/21/2024 7:39
10192201,7,Rm 103,10/21/2024 8:39
10205045,58,Rm 227,10/21/2024 9:03
10205804,59,Rm 323,10/21/2024 6:21
10262177,10,Rm 112,10/21/2024 8:55
10192495,34,Dining Room,10/21/2024 8:55
10206475,60,Rm 3117,10/21/2024 8:22
10260569,10,Rm 110,10/21/2024 6:46
10205060,7,Rm 122,10/21/2024 5:25
10192504,23,Rm 2309,10/21/2024 6:56
10193386,18,Rm 218,10/21/2024 5:37
10205835,59,Rm 326,10/21/2024 7:41
10205302,49,Rm 2116,10/21/2024 5:43
10205069,23,Rm 2315,10/21/2024 8:00
6598546,11,Rm 2102,10/21/2024 5:26
9950550,20,Rm 2205,10/21/2024 7:08
10205053,58,Rm 234,10/21/2024 7:36
10192499,9,Rm 3122 B,10/21/2024 6:56
10205046,19,Rm 312,10/21/2024 8:03
10205876,23,Rm 2319,10/21/2024 6:32
10206793,26,Rm 3212,10/21/2024 5:55
10205568,19,Rm 303,10/21/2024 6:59
10192485,9,Rm 3112A,10/21/2024 7:40
9948986,20,Rm 2202,10/21/2024 6:33
10205073,50,Rm 2216,10/21/2024 7:16
10205067,50,Rm 2209 Den,10/21/2024 7:57
10205083,50,Rm 2205,10/21/2024 7:58
10206931,22,Rm 2216,10/21/2024 5:12
10261822,10,Rm 108,10/21/2024 5:51
10192196,49,Rm 2115,10/21/2024 7:01
10205021,57,Rm 104,10/21/2024 5:17
10238967,25,Rm 3325,10/21/2024 6:09
10192230,9,Rm 3115,10/21/2024 5:47
9949858,20,Rm 2208,10/21/2024 5:25
10206789,57,Rm 101,10/21/2024 6:52
10205323,8,Rm 2109,10/21/2024 8:53
10205066,23,Rm 2318,10/21/2024 7:30
10192942,51,Rm 2308,10/21/2024 6:08
10192189,18,Rm 214,10/21/2024 6:26
10192186,18,Rm 212,10/21/2024 5:37
10205205,51,Rm 2318,10/21/2024 7:40
10205058,18,Rm 230,10/21/2024 8:31
10205136,26,Rm 3227,10/21/2024 8:36
10206760,26,Rm 3221,10/21/2024 7:21
10206808,19,Rm 329,10/21/2024 6:05
10287616,61,Rm 3214,10/21/2024 5:17
10206671,22,Rm 2201,10/21/2024 7:22
10205022,59,Rm 327,10/21/2024 9:00
10192484,51,Rm 2306,10/21/2024 7:50
10205029,19,Rm 320,10/21/2024 6:07
10192489,9,Rm 3113,10/21/2024 6:04
10205918,50,Rm 2204,10/21/2024 7:59
10205919,23,Rm 2312,10/21/2024 6:06
10262188,17,Rm 302,10/21/2024 6:41
10206115,19,Rm 328,10/21/2024 8:08
10329417,61,Rm 3202,10/21/2024 7:15
10205834,59,Rm 302,10/21/2024 5:40
10261700,10,Rm 103,10/21/2024 5:33
10205132,22,Rm 2218,10/21/2024 6:48
10192958,23,Rm 2311,10/21/2024 5:53
10192501,9,Rm 3104,10/21/2024 5:27
10206464,26,Rm 3203,10/21/2024 8:07
10192512,9,Rm 3112,10/21/2024 8:06
10206471,26,Rm 3208,10/21/2024 8:55
10205721,49,Rm 2105,10/21/2024 8:38
10192195,8,Rm 2108,10/21/2024 5:20
10205704,49,Rm 2104,10/21/2024 8:24
10206259,26,Rm 3210,10/21/2024 5:18
10205209,51,Rm 2319,10/21/2024 8:06
10192183,8,Rm 2106,10/21/2024 7:30
10206774,9,Rm 3121,10/21/2024 7:00
9134594,34,Public Restroom Left by Room 2109,10/21/2024 5:37
10206677,9,Rm 3119,10/21/2024 8:13
10262000,10,Rm 105,10/21/2024 7:00
10239072,25,Rm 3327,10/21/2024 6:26
8803688,16,Rm 218,10/21/2024 5:53
10206797,26,Rm 3207,10/21/2024 8:24
10261757,10,Rm 104,10/21/2024 5:52
10193678,9,Rm 3102,10/21/2024 7:59
10205128,60,Rm 3113,10/21/2024 7:59
10327828,62,Rm 3318,10/21/2024 7:12
10286189,20,Rm 2217,10/21/2024 5:34
10205048,7,Rm 107,10/21/2024 5:53
10205179,7,Rm 106,10/21/2024 5:41
10205290,51,Rm 2309,10/21/2024 7:28
10239122,25,Rm 3329,10/21/2024 5:49
10205914,50,Rm 2211,10/21/2024 6:23
10205722,19,Rm 327,10/21/2024 5:41
10192200,49,Rm 2101,10/21/2024 5:14
10286816,25,Rm 3302,10/21/2024 6:22
10205572,58,Rm 204,10/21/2024 6:59
10205155,49,Rm 2108,10/21/2024 6:54
10285720,20,Rm 2216,10/21/2024 8:32
10206665,9,Rm 3109,10/21/2024 7:18
10206937,50,Rm 2221,10/21/2024 7:52
10205013,18,Rm 209,10/21/2024 8:34
10205724,18,Rm 206,10/21/2024 5:24
10206392,7,Rm 118,10/21/2024 5:50
10205821,22,Rm 2215,10/21/2024 7:59
10286186,21,Rm 2302,10/21/2024 6:56
10205829,26,Rm 3217,10/21/2024 6:34
10206117,58,Rm 202,10/21/2024 8:46
10205906,50,Rm 2208,10/21/2024 7:30
9950677,20,Rm 2212,10/21/2024 8:19
10285855,21,Rm 2303,10/21/2024 9:01
10237915,25,Rm 3318,10/21/2024 7:04
10193090,18,Rm 216,10/21/2024 8:53
9134152,63,Rm 3311 Right,10/21/2024 7:27
10261091,17,Chapel Restroom,10/21/2024 9:04
10205657,58,Rm207,10/21/2024 6:28
9999023,26,Rm 3227,10/21/2024 5:17
9998990,60,Rm 3121,10/21/2024 5:36
